iter	Passed	Remaining
855	15669	2635
856	15687	2617
857	15705	2599
858	15724	2581
859	15742	2562
860	15761	2544
861	15780	2526
862	15798	2508
863	15817	2489
864	15836	2471
865	15854	2453
866	15872	2434
867	15891	2416
868	15909	2398
869	15928	2380
870	15946	2361
871	15964	2343
872	15982	2325
873	16000	2306
874	16019	2288
875	16038	2270
876	16056	2251
877	16075	2233
878	16094	2215
879	16112	2197
880	16130	2178
881	16149	2160
882	16169	2142
883	16188	2124
884	16202	2105
885	16221	2087
886	16240	2068
887	16260	2050
888	16278	2032
889	16297	2014
890	16315	1996
891	16334	1977
892	16352	1959
893	16370	1941
894	16389	1922
895	16407	1904
896	16426	1886
897	16445	1867
898	16464	1849
899	16482	1831
900	16501	1813
901	16520	1794
902	16537	1776
903	16553	1757
904	16571	1739
905	16589	1721
906	16608	1702
907	16626	1684
908	16644	1666
909	16663	1648
910	16681	1629
911	16700	1611
912	16719	1593
913	16737	1574
914	16757	1556
915	16776	1538
916	16796	1520
917	16815	1502
918	16834	1483
919	16852	1465
920	16870	1447
921	16891	1428
922	16910	1410
923	16929	1392
924	16948	1374
925	16966	1355
926	16984	1337
927	17003	1319
928	17021	1300
929	17040	1282
930	17056	1264
931	17074	1245
932	17092	1227
933	17111	1209
934	17129	1190
935	17149	1172
936	17168	1154
937	17187	1136
938	17203	1117
939	17221	1099
940	17240	1080
941	17258	1062
942	17278	1044
943	17296	1026
944	17314	1007
945	17333	989
946	17351	971
947	17368	952
948	17387	934
949	17405	916
950	17423	897
951	17441	879
952	17459	861
953	17476	842
954	17494	824
955	17513	806
956	17532	787
957	17552	769
958	17571	751
959	17589	732
960	17608	714
961	17626	696
962	17645	677
963	17664	659
964	17684	641
965	17702	623
966	17719	604
967	17738	586
968	17755	568
969	17775	549
970	17793	531
971	17810	513
972	17828	494
973	17846	476
974	17864	458
975	17881	439
976	17899	421
977	17918	403
978	17937	384
979	17956	366
980	17974	348
981	17993	329
982	18011	311
983	18030	293
984	18048	274
985	18067	256
986	18087	238
987	18106	219
988	18124	201
989	18143	183
990	18162	164
991	18181	146
992	18199	128
993	18219	109
994	18237	91
995	18256	73
996	18274	54
997	18293	36
998	18311	18
999	18329	0
